Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location,
10015-162,0.2,29-Feb-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 6.2 - Draft System Test Procedures,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/A018_stp_FOUO/Releases/A018_NGDS-CL-r6.2-stp_v0.2_20120229.pdf,
10015-162,0.3,04-Mar-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 6.2 - Draft System Test Procedures,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/A018_stp_FOUO/Releases/A018_NGDS-CL-r6.2-stp_v0.3_20120304.pdf,
10015-162,0.4,14-Mar-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 6.2 - Draft System Test Procedures,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/A018_stp_FOUO/Releases/A018_NGDS-CL-r6.2-stp_v0.4_20120314_cb.pdf,
10015-162,0.5,17-Mar-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 6.2 - Draft System Test Procedures,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/A018_stp_FOUO/Releases/A018_NGDS-CL-r6.2-stp_v0.5_20120317_cb_2.pdf,
10015-162,0.6,29-Mar-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 6.2 - Draft System Test Procedures,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/A018_stp_FOUO/Releases/A018_NGDS-CL-r6.2-stp_v0.6_20120329_cb.pdf,
10015-162,0.7,02-Apr-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 6.2 - Draft System Test Procedures,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/A018_stp_FOUO/Releases/A018_NGDS-CL-r6.2-stp_v0.7_20120402A_cb.pdf,
10015-162,0.8,13-Apr-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 6.2 - Draft System Test Procedures,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/A018_stp_FOUO/Releases/A018_NGDS-CL-r6.2-stp_v0.8_20120413_cb.pdf,
10015-162,1,03-May-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 6.2 - Draft System Test Procedures,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/A018_stp_FOUO/Releases/A018_NGDS-CL-r6.2-stp_v1.0_20120503.pdf,
10015-163,0.1,08-Nov-11,CDRL A016: NGDS Release 6.2 - Draft Test and Evaluation Master Plan,DY,,,\cslt\docs\2010\10015-NGDS\R6.2\A016_temp\,
10015-164,1,14-Nov-11,Commercial Secure Operations (CSO) Discussion Topics (RFC NCG-0002),LB,,,\cslt\docs\2010\10015-NGDS\R7.0\CSO\20111114-CSO_NGDS_RTM_Discussion_Topics.ppt,
10015-165,1,09-Dec-11,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) ECP 142M - Technical Volume,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_142/cslt_response/releases/release_1.0/*.pdf,
10015-165,1.1,14-Dec-11,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) ECP 142M - Technical Volume,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_142/cslt_response/releases/release_1.1/*.pdf,
10015-165,2,07-Mar-12,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) ECP 142M - Technical Volume,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_142/cslt_response/releases/release_2.0/*.pdf,
10015-166,1,22-Nov-11,NGDS Release 6.1 - How To Guide,AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_6\how_to_guide\NGDS-CL-r6.1-How_To_Guide_v1.0_20111122.pdf,
10015-167,1,20-Dec-11,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) ECP 150M - Technical Volume,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_150M/cslt_response/releases/release_1.0/*.pdf,
10015-168,1,23-Nov-11,NGDS Performance Briefing,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/Performance_Characterization/NGDS-CL-PerformanceBriefing-v1 0-20111123.ppt,
10015-169,1,30-Nov-11,NGDS Release 6.1 - Administration Guide,LL/BEP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_6\admin_guide\releases\NGDS-CL-r6.1-Admin_Guide_v1.0_20111130.pdf,
10015-169,1.1,16-Dec-11,NGDS Release 6.1 - Administration Guide,LL/BEP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_6\admin_guide\releases\NGDS-CL-r6.1-Admin_Guide_v1.1_20111216.pdf,
10015-170,1,09-Dec-11,NGDS Modularization - ROM Response,LB/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ROMs\11_Modularization/cslt_response/releases/20111221_NGDS_Modularization_ROM_Response_V1.0.pdf,
10015-171,1,01-Dec-11,NGDS Release 6.1 -Test Readiness Review Brief,DY,,,/cslt/docs/2010/10015-NGDS/R6.1/TRR/NGDS-CL-r6.1-TRR_20111128.ppt,
10015-172,1,29-Nov-11,NGDS Database Partitioning Discussion,JM/LB,,,\\vault\cslt\docs\2010\10015-NGDS\Database Maintenance Options\20111129-NGDS_DB_Partitioning_Discussion.pptx,
10015-173,1,01-Dec-11,NGDS Release 6.1 - User’s Guide,BEP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_6\users_guide\releases\NGDS-CL-r6.1-Users_Guide_v1.0_20111201.pdf,
10015-173,1.1,16-Dec-11,NGDS Release 6.1 - User’s Guide,BEP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_6\users_guide\releases\NGDS-CL-r6.1-Users_Guide_v1.1_20111216.pdf,
10015-174,1,04-Dec-11,NGDS Release 6.1 - Software Version Description Document (SVDD),JM,,,\\vault\cslt\docs\2010\10015-NGDS\R6.1\A015_svdd\releases\A015_NGDS-CL-r6.1-SVDD-v1.0-20111204.pdf,
10015-174,1.1,05-Dec-11,NGDS Release 6.1 - Software Version Description Document (SVDD),JM,,,\\vault\cslt\docs\2010\10015-NGDS\R6.1\A015_svdd\releases\A015_NGDS-CL-r6.1-SVDD-v1.1-20111205.pdf,
10015-175,1,06-Dec-11,CDP Browse Imagery Service Interface Suggestions,LB,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\CSO\20111206-CDP_Interface_Suggestions.pptx,
10015-175,1.1,07-Dec-11,CDP Browse Imagery Service Interface Suggestions,LB,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\CSO\20111207-CDP_Interface_Suggestions_v1.1.pptx,
10015-176,1,09-Dec-11,NGDS R6.2 (Delta IRR & IDR) Follow-up Brief,DOM,,,\\vault\csltdocs\2010\10015-NGDS\R6.2\IRR_IDR_FOUO\Tactical_Airborne-Follow-Up.ppt,
10015-177,1,16-Dec-11,NGDS Release 6.1 Upgrade Guide for 6.1.0 to 6.1.1,AP,,,\\vault\cslt\docs\2010\10015-NGDS\R6.1.1\upgrade_guide\doc.book,
10015-178,1,19-Dec-11,NGDS Release 6.1.1 Software Version Description Document (SVDD),JM,,,\\vault\cslt\docs\2010\10015-NGDS\R6.1\A015_svdd\releases\A015_NGDS-CL-r6.1.1-SVDD-v0.1-20111219.pdf,
10015-178,1.1,11-Jan-12,NGDS Release 6.1.1 Software Version Description Document (SVDD),JM,,,\\vault\cslt\docs\2010\10015-NGDS\R6.1\A015_svdd\releases\A015_NGDS-CL-r6.1.1-SVDD-v1.1-20120111.pdf,
10015-179,1,21-Dec-11,NGDS Release 7.0 Requirements Review,DY,,,/cslt/docs/2010/10015-NGDS/meetings/20111221-NGDS_R7_Requirements_TEM/20111221-NGDS_R7_Requirements_TEM/.ppt,
10051-180,0.1,22-Dec-11,NGDS Perfomance Execution Checklist,AB,,,\\vault\cslt\docs\2010\10015-NGDS\Performance_Characterization\performance_characterization_checklist.pdf,
10015-181,1,03-Jan-12,NGDS R6.2 (Delta IRR &IDR) Follow-up Brief,DY/ DOM/ JM,,,\\vault\csltdocs\2010\10015-NGDS\R7.0\Delta_IRR_and_IDR_FOUO,
10015-182,1,06-Jan-12,RFC NCG-0004J - ROM Response,BOR/DF/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\RFCs\09_NCG-0004J/cslt_response/releases/release_1.0/*.pdf,
10015-183,1,05-Jan-12,"CCB Minutes - January 5, 2012",BEP,,,\\vault\cslt\docs\2010\10015-NGDS\CCB\meetings\2012\20120105-CCB\20120105_CCB_Minutes.ppt,
10015-184,1,10-Jan-12,NGDS R6.1 JOIO Sound Byte screen shots,JM,,,\\Vault\cslt\docs\2010\10015-NGDS\outgoing\20120110_NGDS_R61_JOIO_sound_byte\20120110_NGDS_R61_JOIO_sound_byte.ppt,
10015-185,1,18-Jan-12,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) ECP 153M - Technical Volume,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_153M/cslt_response/releases/release_1.0/*.pdf,
10015-186,0.1,25-Jan-12,NGDS Release 7.0 Draft System Design Document,ML,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\SDD_FOUO\releases\NGDS-CL-r7.0-SDD_draft_v0.1_20120125.pdf,
10015-186,0.2,06-May-12,NGDS Release 7.0 Draft System Design Document,ML,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\SDD_FOUO\releases\NGDS-CL-r7.0-SDD_draft_v0.2_20120506_cb.pdf,
10015-186,0.3,03-Jun-12,NGDS Release 7.0 Draft System Design Document,ML,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\SDD_FOUO\releases\NGDS-CL-r7.0-SDD_draft_v0.3_20120603_cb.pdf,
10015-186,0.4,12-Jul-12,NGDS Release 7.0 Draft System Design Document,ML,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\SDD_FOUO\releases\NGDS-CL-r7.0-SDD_draft_v0.4_20120712_cb.pdf,
10015-186,1,23-Aug-12,NGDS Release 7.0 Draft System Design Document,ML,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\SDD_FOUO\releases\NGDS-CL-r7.0-SDD_draft_v1.0_20120823.pdf,
10015-187,0.1,26-Jan-12,NGDS Release 7.0 Draft Collection Specification,BG,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\CollectionSpec\Releases\NGDS_R7.0_CollectionSpec_v0.1_cb.pdf,
10015-187,0.2,17-Jul-12,NGDS Release 7.0 Draft Collection Specification,BG,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\CollectionSpec\Releases\NGDS_R7.0_CollectionSpec_v0.2_cb.pdf,
10015-188,0.1,26-Jan-12,NGDS Release 7.0 Draft Architecture Document,BG,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A011_architecture\Releases\A011_NGDS-CL-r7.0-ARCH_draft_v0.1_20120126_cb.pdf,
10015-188,0.2,17-Jul-12,NGDS Release 7.0 Draft Architecture Document,BG,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A011_architecture\Releases\A011_NGDS-CL-r7.0-ARCH_draft_v0.2_20120717_cb.pdf,
10015-189,1,31-Jan-12,NGDS Release 6.1.1.1 SVDD,JM,,,\\vault\cslt\docs\2010\10015-NGDS\R6.1\A015_svdd\releases\A015_NGDS-CL-r6.1.1.1-SVDD-v1.0-20120131.pdf,
10015-190,1,02-Feb-12,"CCB Minutes - February 2, 2012",BEP,,,\\vault\cslt\docs\2010\10015-NGDS\CCB\meetings\2012\20120202-CCB\20120202_CCB_Minutes.ppt,
10015-191,1,20-Feb-11,NGDS Release 6.2 Internal FAT Dry Run,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/FAT/Internal_Dry_Run/20120217-Internal_Dry_Run_Results.pptx,
10015-192,1,22-Mar-12,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) ECP 148M - Technical Volume,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_148M/cslt_response/releases/*v1.0*.pdf,
10015-192,2,29-May-12,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) ECP 148M - Technical Volume,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_148M/cslt_response/releases/*v2.0*.pdf,
10015-193,1,23-Feb-12,Tech Memo - Multiple Data Models in NGDS 6.2,LB,,,\cslt\docs\2010\10015-NGDS\tech_memos\TM-10015-193-Multiple_Data_Models_in_NGDS_6.2\doc.book,
10015-194,1,29-Feb-12,NGDS Release 6.2 User’s Guide,BEP,,,\cslt\products\wes\portal_docs\ngds_help\release_6\6.2.0\users_guide\doc.book,
10015-195,1,29-Feb-12,NGDS Release 6.2 How To Guide,BEP,,,\cslt\products\wes\portal_docs\ngds_help\release_6\how_to_guide\6.2.0\doc.book,
10015-196,1,29-Feb-12,NGDS Release 6.2 Frequently Asked Questions,BEP,,,\cslt\products\wes\portal_docs\ngds_help\release_6\faq\6.2.0\doc.book,
10015-197,1,29-Feb-12,NGDS Release 6.2 Administration Manual,BEP,,,\cslt\products\wes\portal_docs\ngds_help\release_6\admin_guide\doc.book,
10015-198,1,29-Feb-12,NGDS Release 6.2 Quick Start Guide,BEP,,,\cslt\products\wes\portal_docs\ngds_help\release_6\quick_start\6.2.0\doc.book,
10015-199,1,29-Feb-12,NGDS Release 6.2 Quick Reference Guide,BEP,,,\cslt\products\wes\portal_docs\ngds_help\release_6\quick_reference_guide\6.2.0\doc.book,
10015-200,1,10-Mar-12,NGDS Release 6.2 -Test Readiness Review Brief,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/TRR_FOUO/NGDS-CL-r6.2-TRR_20120315.pptx,
10015-201,1,20-Apr-12,"NGDS Report as of March 31, 2012",DF/BOR/WE,,,\cslt\\docs\2010\10015-NGDS\contract_docs\reports\monthly\2012_03_31\body.book,
10015-202,1,05-Apr-12,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) ECP 155 - Technical Volume,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_155/cslt_response/releases/release_1.0/*.pdf,
10015-203,1,12-Apr-12,NGDS Release 6.2.0.2 SVDD,JM/LB,,,\cslt\docs\2010\10015-NGDS\R6.2\A015_svdd,
10015-203,1.1,04-May-12,NGDS Release 6.2.0.3 SVDD,JM/LB,,,\cslt\docs\2010\10015-NGDS\R6.2\A015_svdd,
10015-203,1.2,21-May-12,NGDS Release 6.2.0.3 SVDD,JM/LB,,,\cslt\docs\2010\10015-NGDS\R6.2\A015_svdd,
10015-203,1.3,23-May-12,NGDS Release 6.2.0.3 SVDD ,JM/LB,,,\cslt\docs\2010\10015-NGDS\R6.2\A015_svdd,
10015-203,1.4,05-Jun-12,NGDS Release 6.2.0.5 SVDD (Included 6.2.0.4),JM/LB,,,\cslt\docs\2010\10015-NGDS\R6.2\A015_svdd,
10015-203,1.5,06-Jun-12,NGDS Release 6.2.0.6 SVDD,JM/LB,,,\cslt\docs\2010\10015-NGDS\R6.2\A015_svdd,
10015-203,1.6,17-Aug-12,NGDS Release 6.2.0.7 SVDD,JM/LB,,,\cslt\docs\2010\10015-NGDS\R6.2\A015_svdd,
10015-204,0.1,14-Mar-12,NGDS Release 6.2 - FAT Preparation Guide,LW/DY,,,/cslt/docs/2010/10015-NGDS/R6.2/FAT/FAT_Preparation_Guide/wes_install.book,
10015-205,1,06-Apr-12,EnhancedView Augmentation - ROM Response,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ROMs\12_EnhancedView_Augmentation/cslt_response/releases/,
10015-206,1,15-Mar-12,"NGDS R6.2 Test Readiness Review, Database Readiness Summary",BOR,,,\cslt\docs\2010\10015-NGDS\R6.2\TRR_FOUO\NGDS-R6.2-FAT-Database-Summary.pptx,
10015-207,1,15-Mar-12,NGDS R6.2 Performance Report,AB,,,\\vault\cslt\docs\2010\10015-NGDS\R6.2\Performance_Characterization\PerformanceReport_6_2_Post_DryRun\doc.book,
10015-208,1,10-Mar-12,NGDS Release 6.2 - NGDSR6.2 FAT Brief,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/FAT/FAT_Formals/Briefings/NGDS-CL-r6.2-FAT_20120319.pptx,
10015-209,1,22-Mar-12,NGDS Release 6.2 -WARP Requirements,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/FAT/FAT_Formals/Briefings/WARP_Requirements.pptx,
10015-210,1,27-Mar-12,NGDS Release 6.2 - Formal FAT Event - Test Report,DY,,,/cslt/docs/2010/10015-NGDS/R6.2/FAT/FAT_Formals/FATReport/doc.book,
10015-211,1,02-Mar-12,NGDS Release 6.2 - Installation Guide,AP,,,\\vault\cslt\docs\2010\10015-NGDS\R6.2\install_guide\releases\NGDS-CL-r6.2-Install_Guide_v1.0_20120302_cb.pdf,
10015-211,1,15-Mar-12,NGDS Release 6.2 - Installation Guide,AP,,,\\vault\cslt\docs\2010\10015-NGDS\R6.2\install_guide\releases\NGDS-CL-r6.2-Install_Guide_v1.0_20120315_DRAFT_cb.pdf,
10015-211,2,30-Mar-12,NGDS Release 6.2 - Installation Guide,AP,,,\\vault\cslt\docs\2010\10015-NGDS\R6.2\install_guide\releases\NGDS-CL-r6.2-Install_Guide_v2.0_20120330_cb.pdf,
10015-211,3,12-Apr-12,NGDS Release 6.2 - Installation Guide,AP,,,\\vault\cslt\docs\2010\10015-NGDS\R6.2\install_guide\releases\NGDS-CL-r6.2-Install_Guide_v3.0_20120412.pdf,
10015-212,0.1,13-May-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 7.0 - Draft System Test Procedures,DY/MV,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A018_stp_FOUO\Releases\A018_NGDS-CL-r7.0-DRAFT-stp_v0.1_20120513_cb.pdf,
10015-212,0.2,21-May-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 7.0 - Draft System Test Procedures,DY/MV,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A018_stp_FOUO\Releases\A018_NGDS-CL-r7.0-DRAFT-stp_v0.2_20120521_cb2.pdf,
10015-212,0.3,04-Jun-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 7.0 - Draft System Test Procedures,DY/MV,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A018_stp_FOUO\Releases\A018_NGDS-CL-r7.0-DRAFT-stp_v0.3_20120604_cb.pdf,
10015-212,0.4,10-Jun-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 7.0 - Draft System Test Procedures,DY/MV,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A018_stp_FOUO\Releases\A018_NGDS-CL-r7.0-DRAFT-stp_v0.4_20120610_cb.pdf,
10015-212,0.5,16-Jul-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 7.0 - Draft System Test Procedures,DY/MV,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A018_stp_FOUO\Releases\A018_NGDS-CL-r7.0-DRAFT-stp_v0.5_20120716_cb.pdf,
10015-212,0.6,20-Jul-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 7.0 - Draft System Test Procedures,DY/MV,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A018_stp_FOUO\Releases\A018_NGDS-CL-r7.0-DRAFT-stp_v0.6_20120720_cb.pdf,
10015-212,1,23-Aug-12,Net-Centric Geospatial-Intelligence Discovery Services (NGDS) - Release 7.0 - Draft System Test Procedures,DY/MV,,,\\vault\cslt\docs\2010\10015-NGDS\R7.0\A018_stp_FOUO\Releases\A018_NGDS-CL-r7.0-stp_v1.0_20120823.pdf,
10015-213,1,29-Mar-12,NGDS Document Review Process,BEP,,,\cslt\docs\2010\10015-NGDS\CM_Plan\graphics\NGDS_document_review_process.pptx,
10015-214,1,09-Apr-12,NGDS Release 6.1.1.2 SVDD,JM,,,\\vault\cslt\docs\2010\10015-NGDS\R6.1\A015_svdd\releases\A015_NGDS-CL-r6.1.1.2-SVDD-v1.0-20120409.pdf,
10015-214,2,12-Apr-12,NGDS Release 6.1.1.2 SVDD,JM,,,\\vault\cslt\docs\2010\10015-NGDS\R6.1\A015_svdd\releases\A015_NGDS-CL-r6.1.1.2-SVDD-v2.0-20120412.pdf,
10015-215,1,04-Apr-12,NGDS Program Status/ECP Review,BOR,,,\cslt\docs\2010\10015-NGDS\contract_docs\contract_analysis\NGDS_Program_Status_ECP_Review.ppt,
10015-216,0.1,11-Apr-12,NGDS Pre-Ship Review Brief (Dry Run),DY,,,/cslt/docs/2010/10015-NGDS/R6.2/PSR_FOUO/Dry_Run/NGDS-CL-r6.2-PSR_brief-v0.1-20120416.pptx,
10015-216,1,16-Apr-12,NGDS Pre-Ship Review Brief (Formal),DY,,,/cslt/docs/2010/10015-NGDS/R6.2/PSR_FOUO/Final/NGDS-CL-r6.2-PSR_brief-v1.0-20120416.pptx,
10015-217,1,11-Apr-12,NGDS R6.2 Performance Report,AB,,,/cslt/docs/2010/10015-NGDS/R6.2/Performance_Characterization/PerformaceReport_6_2_Regression/doc.book,
10015-218,1,16-Apr-12,Net-Centric Geospartial-Intelligence Discovery Services (NGDS) Additional Costs,BOR/LB/DF/BG/WE,,,/cslt/docs/2010/10015-NGDS/contract_docs/0_Quotes\ECPs\ECP_145M/additional_costs/NGDS_Additional_Costs.fm,
10015-219,0.1,04-May-12,NGDS Release 7.0 - Draft Administration Manual,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\admin_guide\releases\NGDS-CL-r7.0-DRAFT_Admin_Guide_v0.1_20120504.pdf,
10015-219,0.2,07-Jun-12,NGDS Release 7.0 - Draft Administration Manual,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\admin_guide\releases\NGDS-CL-r7.0-DRAFT_Admin_Guide_v0.2_20120607.pdf,
10015-219,1,23-Aug-12,NGDS Release 7.0 - Administration Manual,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\admin_guide\releases\NGDS-CL-r7.0-Admin_Guide_v1.0_20120823.pdf,
10015-220,0.1,04-May-12,NGDS Release 7.0 - Draft User’s Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\users_guide\releases\A022_NGDS-CL-r7.0-DRAFT_Users_Guide_v0.1_20120504.pdf,
10015-220,0.2,08-Jun-12,NGDS Release 7.0 - Draft User’s Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\users_guide\releases\A022_NGDS-CL-r7.0-DRAFT_Users_Guide_v0.2_20120608.pdf,
10015-220,0.3,22-Aug-12,NGDS Release 7.0 - Draft User’s Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\users_guide\releases\A022_NGDS-CL-r7.0-DRAFT_Users_Guide_v0.3_20120822.pdf,
10015-220,0.4,30-Aug-12,NGDS Release 7.0 - Draft User’s Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\users_guide\releases\A022_NGDS-CL-r7.0-DRAFT_Users_Guide_v0.4_20120830.pdf,
10015-220,1,11-Sep-12,NGDS Release 7.0 - User’s Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\users_guide\releases\A022_NGDS-CL-r7.0-Users_Guide_v1.0_20120911.pdf,
10015-221,0.1,?? ??? 12,NGDS Release 7.0 - Draft How To Guide,BEP/LL/AP,,,\cslt\products\wes\portal_docs\ngds_help\release_7\how_to_guide\doc.book,
10015-222,0.1,02-May-12,NGDS Release 7.0 - Draft Frequently Asked Questions (FAQ),BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\faq\releases\NGDS-CL-r7.0-DRAFT_FAQ_v0.1_20120502.pdf,
10015-222,0.2,05-Jun-12,NGDS Release 7.0 - Draft Frequently Asked Questions (FAQ),BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\faq\releases\NGDS-CL-r7.0-DRAFT_FAQ_v0.2_20120605.pdf,
10015-222,0.3,23-Aug-12,NGDS Release 7.0 - Draft Frequently Asked Questions (FAQ),BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\faq\releases\NGDS-CL-r7.0-DRAFT_FAQ_v0.3_20120823.pdf,
10015-222,1,07-Sep-12,NGDS Release 7.0 - Frequently Asked Questions (FAQ),BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\faq\releases\NGDS-CL-r7.0-FAQ_v1.0_20120907.pdf,
10015-223,0.1,02-May-12,NGDS Release 7.0 - Draft Quick Reference Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_reference_guide\releases\NGDS-CL-r7.0-DRAFT_Quick_Reference_v0.1_20120502.pdf,
10015-223,0.2,05-Jun-12,NGDS Release 7.0 - Draft Quick Reference Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_reference_guide\releases\NGDS-CL-r7.0-DRAFT_Quick_Reference_v0.2_20120605.pdf,
10015-223,0.3,30-Aug-12,NGDS Release 7.0 - Draft Quick Reference Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_reference_guide\releases\NGDS-CL-r7.0-DRAFT_Quick_Reference_v0.3_20120830.pdf,
10015-223,1,11-Sep-12,NGDS Release 7.0 - Quick Reference Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_reference_guide\releases\NGDS-CL-r7.0-Quick_Reference_v1.0_20120911.pdf,
10015-224,0.1,02-May-12,NGDS Release 7.0 - Draft Quick Start Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_start\releases\NGDS-CL-r7.0-DRAFT_Quick_Start_v0.1_20120502.pdf,
10015-224,0.2,05-Jun-12,NGDS Release 7.0 - Draft Quick Start Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_start\releases\NGDS-CL-r7.0-DRAFT_Quick_Start_v0.2_20120605.pdf,
10015-224,0.3,20-Aug-12,NGDS Release 7.0 - Draft Quick Start Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_start\releases\NGDS-CL-r7.0-DRAFT_Quick_Start_v0.3_20120820.pdf,
10015-224,0.4,30-Aug-12,NGDS Release 7.0 - Draft Quick Start Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_start\releases\NGDS-CL-r7.0-DRAFT_Quick_Start_v0.4_20120830.pdf,
10015-224,1,11-Sep-12,NGDS Release 7.0 - Quick Start Guide,BEP/LL/AP,,,\\vault\cslt\products\wes\portal_docs\ngds_help\release_7\quick_start\releases\NGDS-CL-r7.0-Quick_Start_v1.0_20120911.pdf,
10015-225,1,25-Apr-12,NGDS Application Performance,LB,,,cslt\docs\2010\10015-NGDS\meetings\DRB\2012\20120425 - Special\20120425-NGDS_Application_Performance.pptx,
10015-226,1,26-Apr-12,NIL Thumbnails within NGDS,LB,,,\\vault\cslt\docs\2010\10015-NGDS\meetings\20120426-NIL_Thumbnail_TEM\20120426-NIL_Thumbnail_TEM,
